Total_Population,Median_Income,Median_Home_Value,Unemployed_Pop,Bachelors_Holders,StateFIPS,CountyFIPS,TractFIPS
8975.0,105606.0,825600.0,391.0,1934.0,6,1,437200
3031.0,62201.0,851700.0,166.0,611.0,6,1,437300
3609.0,100096.0,774900.0,162.0,438.0,6,1,437400
4663.0,96250.0,847200.0,85.0,371.0,6,1,437500
3385.0,107188.0,816200.0,59.0,383.0,6,1,437600
3729.0,72159.0,611700.0,69.0,458.0,6,1,437701
4027.0,100268.0,1125000.0,103.0,146.0,6,1,437702
5107.0,150980.0,826100.0,264.0,727.0,6,1,437800
2283.0,93490.0,813600.0,133.0,171.0,6,1,437900
3676.0,137418.0,945200.0,129.0,764.0,6,1,438000
7541.0,154208.0,911400.0,218.0,1853.0,6,1,438100
4671.0,107500.0,633900.0,197.0,505.0,6,1,438201
4073.0,129113.0,700000.0,134.0,1019.0,6,1,438203
5745.0,100000.0,365800.0,186.0,940.0,6,1,438204
3849.0,142500.0,832100.0,136.0,492.0,6,1,438300
2741.0,107171.0,602500.0,101.0,637.0,6,1,438400
2423.0,104861.0,691500.0,38.0,501.0,6,1,440100
5368.0,125129.0,815200.0,78.0,602.0,6,1,440200
6812.0,123102.0,945100.0,255.0,1029.0,6,1,440301
4391.0,142675.0,1045100.0,28.0,975.0,6,1,440304
4021.0,159583.0,1153400.0,108.0,1017.0,6,1,440305
3706.0,112723.0,775200.0,119.0,654.0,6,1,440306
4449.0,102500.0,755100.0,57.0,991.0,6,1,440307
6303.0,113750.0,1111700.0,154.0,1188.0,6,1,440308
3373.0,132500.0,1063100.0,85.0,664.0,6,1,440331
3102.0,180234.0,1552300.0,52.0,711.0,6,1,440332
2516.0,127708.0,1044500.0,110.0,701.0,6,1,440333
3902.0,163663.0,1063100.0,66.0,868.0,6,1,440334
4554.0,156579.0,1020100.0,159.0,930.0,6,1,440336
2720.0,250001.0,1380700.0,135.0,626.0,6,1,440337
3858.0,132250.0,911900.0,246.0,842.0,6,1,440338
4584.0,175159.0,1230800.0,136.0,866.0,6,1,441100
7151.0,168722.0,1380600.0,195.0,1683.0,6,1,441200
3338.0,167845.0,1563800.0,63.0,890.0,6,1,441301
