origin_id,destination_id,am_peak_min,late_night_min,off_peak_delay_min
06001402200,06001440306,80.0,85.0,5.0
06001402200,06001440307,66.0,79.0,13.0
06001402200,06001440308,55.0,69.0,14.0
06001402200,06001440331,78.0,75.0,-3.0
06001402200,06001440332,95.0,94.0,-1.0
06001402200,06001440333,82.0,78.0,-4.0
06001402200,06001440334,76.0,83.0,7.0
06001402200,06001440336,67.0,80.0,13.0
06001402200,06001440337,71.0,88.0,17.0
06001402200,06001440338,66.0,79.0,13.0
06001402200,06001441100,120.0,120.0,0.0
06001402200,06001441200,96.0,120.0,24.0
06001402200,06001441301,116.0,120.0,4.0
06001402200,06001441302,83.0,97.0,14.0
06001402200,06001441401,72.0,95.0,23.0
06001402200,06001441402,80.0,110.0,30.0
06001402200,06001441501,103.0,120.0,17.0
06001402200,06001441503,120.0,120.0,0.0
06001402200,06001441521,90.0,120.0,30.0
06001402200,06001441522,90.0,95.0,5.0
06001402200,06001441523,85.0,120.0,35.0
06001402200,06001441524,95.0,120.0,25.0
06001402200,06001441525,120.0,120.0,0.0
06001402200,06001441601,77.0,96.0,19.0
06001402200,06001441602,90.0,107.0,17.0
06001402200,06001441701,96.0,113.0,17.0
06001402200,06001441702,71.0,93.0,22.0
06001402200,06001441800,78.0,88.0,10.0
06001402200,06001441921,74.0,110.0,36.0
06001402200,06001441923,70.0,77.0,7.0
06001402200,06001441924,82.0,95.0,13.0
06001402200,06001441926,77.0,99.0,22.0
06001402200,06001441927,73.0,93.0,20.0
06001402200,06001441928,81.0,94.0,13.0
06001402200,06001441929,71.0,84.0,13.0
06001402200,06001442000,113.0,120.0,7.0
06001402200,06001442100,102.0,120.0,18.0
06001402200,06001442200,105.0,120.0,15.0
06001402200,06001442301,87.0,111.0,24.0
06001402200,06001442302,82.0,110.0,28.0
06001402200,06001442400,85.0,109.0,24.0
06001402200,06001442501,91.0,101.0,10.0
06001402200,06001442502,81.0,83.0,2.0
06001402200,06001442601,82.0,83.0,1.0
06001402200,06001442602,85.0,96.0,11.0
06001402200,06001442700,95.0,92.0,-3.0
06001402200,06001442800,98.0,96.0,-2.0
06001402200,06001442900,91.0,112.0,21.0
06001402200,06001443001,97.0,115.0,18.0
06001402200,06001443002,92.0,107.0,15.0
06001402200,06001443102,81.0,93.0,12.0
06001402200,06001443103,120.0,120.0,0.0
06001402200,06001443104,100.0,120.0,20.0
06001402200,06001443105,120.0,120.0,0.0
06001402200,06001443200,120.0,120.0,0.0
06001402200,06001443301,89.0,120.0,31.0
06001402200,06001443321,84.0,120.0,36.0
06001402200,06001443322,86.0,120.0,34.0
06001402200,06001444100,88.0,117.0,29.0
06001402200,06001444200,81.0,109.0,28.0
06001402200,06001444301,103.0,120.0,17.0
06001402200,06001444303,120.0,120.0,0.0
06001402200,06001444304,113.0,117.0,4.0
06001402200,06001444400,82.0,109.0,27.0
06001402200,06001444500,83.0,109.0,26.0
06001402200,06001444601,104.0,100.0,-4.0
06001402200,06001444602,120.0,120.0,0.0
06001402200,06001450101,85.0,79.0,-6.0
06001402200,06001450102,120.0,120.0,0.0
06001402200,06001450200,120.0,120.0,0.0
06001402200,06001450300,120.0,120.0,0.0
06001402200,06001450400,82.0,77.0,-5.0
06001402200,06001450501,120.0,120.0,0.0
06001402200,06001450502,120.0,120.0,0.0
06001402200,06001450601,120.0,120.0,0.0
06001402200,06001450603,120.0,120.0,0.0
06001402200,06001450604,120.0,120.0,0.0
06001402200,06001450605,120.0,120.0,0.0
06001402200,06001450606,120.0,120.0,0.0
06001402200,06001450607,120.0,120.0,0.0
06001402200,06001450608,120.0,120.0,0.0
06001402200,06001450609,78.0,73.0,-5.0
06001402200,06001450701,120.0,120.0,0.0
06001402200,06001450741,120.0,120.0,0.0
06001402200,06001450742,120.0,120.0,0.0
06001402200,06001450743,80.0,77.0,-3.0
06001402200,06001450744,120.0,120.0,0.0
06001402200,06001450745,120.0,120.0,0.0
06001402200,06001450746,120.0,120.0,0.0
06001402200,06001450750,120.0,120.0,0.0
06001402200,06001450751,120.0,120.0,0.0
